Label,Accuracy,Precision,Recall,F1
NR-AR,0.9412140575079873,0.31645569620253167,0.3968253968253968,0.352112676056338
NR-AR-LBD,0.9686900958466453,0.48936170212765956,0.4791666666666667,0.4842105263157895
NR-AhR,0.8952076677316294,0.49375,0.4876543209876543,0.4906832298136646
NR-Aromatase,0.9514376996805112,0.2857142857142857,0.20689655172413793,0.24
NR-ER,0.8696485623003195,0.2795031055900621,0.3383458646616541,0.30612244897959184
NR-ER-LBD,0.939297124600639,0.27848101265822783,0.36666666666666664,0.31654676258992803
NR-PPAR-gamma,0.9667731629392972,0.20588235294117646,0.21875,0.21212121212121213
SR-ARE,0.8159744408945687,0.2857142857142857,0.3825136612021858,0.32710280373831774
SR-ATAD5,0.9565495207667731,0.35294117647058826,0.33962264150943394,0.34615384615384615
SR-HSE,0.9233226837060703,0.2375,0.24358974358974358,0.24050632911392406
SR-MMP,0.868370607028754,0.39086294416243655,0.4723926380368098,0.42777777777777776
SR-p53,0.9335463258785942,0.3787878787878788,0.2840909090909091,0.3246753246753247
