Label,Precision,Recall
NR-AR,0.5217391304347826,0.38095238095238093
NR-AR-LBD,0.6666666666666666,0.4166666666666667
NR-AhR,0.45,0.5
NR-Aromatase,0.18181818181818182,0.27586206896551724
NR-ER,0.23555555555555555,0.39849624060150374
NR-ER-LBD,0.352112676056338,0.4166666666666667
NR-PPAR-gamma,0.20833333333333334,0.15625
SR-ARE,0.3487179487179487,0.37158469945355194
SR-ATAD5,0.3333333333333333,0.32075471698113206
SR-HSE,0.31746031746031744,0.2564102564102564
SR-MMP,0.3794642857142857,0.5214723926380368
SR-p53,0.35064935064935066,0.3068181818181818
